Puskesmas,Kecamatan,Kasus_DBD,Kasus_Hipertensi,Kasus_Stunting_Baru,Kasus_ISPA,Populasi_Beresiko,Status_Kewaspadaan
Puskesmas Gambir,Gambir,18,145,4,210,12500,Waspada
Puskesmas Kebon Jeruk,Kebon Jeruk,32,230,9,340,24000,Siaga
Puskesmas Cilandak,Cilandak,12,180,3,195,18500,Aman
Puskesmas Tebet,Tebet,27,310,8,420,29000,Waspada
Puskesmas Cakung,Cakung,45,420,15,510,41000,KLB/Siaga
Puskesmas Tanjung Priok,Tanjung Priok,38,290,12,380,33000,Waspada
Puskesmas Menteng,Menteng,9,110,2,140,9500,Aman
Puskesmas Senen,Senen,15,160,5,230,14000,Aman
Puskesmas Penjaringan,Penjaringan,41,350,14,480,36000,Siaga
Puskesmas Jagakarsa,Jagakarsa,22,210,6,275,22000,Waspada
